feature,importance
num__avgjune,0.2529631221665678
num__sub,0.2030190966272308
num__year,0.15119298635142037
num__Cloud Cover,0.1275609570898415
num__Humidity,0.07134567401636643
num__Temp,0.049726310187766465
num__rainfall_dev_from_mean,0.03240496139486499
num__monthly_rainfall_avg,0.023511983207015714
num__previous_year_rainfall,0.021776174456144524
num__annual_rainfall,0.021767528810062147
num__rolling_mean_rainfall_3y,0.020647694774117088
cat__state_KERALA,0.001282058262630101
cat__state_ARUNACHAL PRADESH,0.0009802831474111022
cat__state_ANDAMAN & NICOBAR ISLANDS,0.0009376173504554535
cat__state_LAKSHADWEEP,0.000851333682386364
cat__state_KONKAN & GOA,0.0008124058129614934
cat__state_SUB HIMALAYAN WEST BENGAL & SIKKIM,0.0008027011669820257
cat__state_BIHAR,0.0007896101035621579
cat__state_EAST RAJASTHAN,0.0007610371836084005
cat__state_COASTAL KARNATAKA,0.0007430731849763907
